No.,date,moviename,Budget,domesticgross,globalgross
1,12/18/2009,Avatar,"425,000,000.00","760,507,625.00","2,783,918,982.00"
,,,,,
2,12/18/2015,Star Wars Ep. VII: The Force Awakens,"306,000,000.00","936,662,225.00","2,058,662,225.00"
,,,,,
3,5/24/2007,Pirates of the Caribbean: At World’s End,"300,000,000.00","309,420,425.00","963,420,425.00"
,,,,,
4,11/6/2015,Spectre,"300,000,000.00","200,074,175.00","879,620,923.00"
,,,,,
5,7/20/2012,The Dark Knight Rises,"275,000,000.00","448,139,099.00","1,084,439,099.00"
,,,,,
6,7/2/2013,The Lone Ranger,"275,000,000.00","89,302,115.00","260,002,115.00"
,,,,,
7,3/9/2012,John Carter,"275,000,000.00","73,058,679.00","282,778,100.00"
,,,,,
8,11/24/2010,Tangled,"260,000,000.00","200,821,936.00","586,581,936.00"
,,,,,
9,5/4/2007,Spider-Man 3,"258,000,000.00","336,530,303.00","890,875,303.00"
,,,,,
10,5/1/2015,Avengers: Age of Ultron,"250,000,000.00","459,005,868.00","1,404,705,868.00"
,,,,,
11,5/6/2016,Captain America: Civil War,"250,000,000.00","408,084,349.00","1,151,684,349.00"
,,,,,
12,3/25/2016,Batman v Superman: Dawn of Justice,"250,000,000.00","330,360,194.00","868,160,194.00"
,,,,,
13,12/14/2012,The Hobbit: An Unexpected Journey,"250,000,000.00","303,003,568.00","1,017,003,568.00"
,,,,,
14,7/15/2009,Harry Potter and the Half-Blood Prince,"250,000,000.00","301,959,197.00","935,083,686.00"
,,,,,
15,12/13/2013,The Hobbit: The Desolation of Smaug,"250,000,000.00","258,366,855.00","960,366,855.00"
,,,,,
16,12/17/2014,The Hobbit: The Battle of the Five Armies,"250,000,000.00","255,119,788.00","955,119,788.00"
,,,,,
17,5/20/2011,Pirates of the Caribbean: On Stranger Tides,"250,000,000.00","241,063,875.00","1,045,663,875.00"
,,,,,
18,6/28/2006,Superman Returns,"232,000,000.00","200,120,000.00","374,085,065.00"
,,,,,
19,11/14/2008,Quantum of Solace,"230,000,000.00","169,368,427.00","591,692,078.00"
,,,,,
20,5/4/2012,The Avengers,"225,000,000.00","623,279,547.00","1,519,479,547.00"
,,,,,
21,7/7/2006,Pirates of the Caribbean: Dead Man’s Chest,"225,000,000.00","423,315,812.00","1,066,215,812.00"
,,,,,
22,6/14/2013,Man of Steel,"225,000,000.00","291,045,518.00","667,999,518.00"
,,,,,
23,5/16/2008,The Chronicles of Narnia: Prince Caspian,"225,000,000.00","141,621,490.00","417,341,288.00"
,,,,,
24,7/3/2012,The Amazing Spider-Man,"220,000,000.00","262,030,663.00","757,890,267.00"
,,,,,
25,6/12/2015,Jurassic World,"215,000,000.00","652,198,010.00","1,671,640,593.00"
,,,,,
26,5/25/2012,Men in Black 3,"215,000,000.00","179,020,854.00","654,213,485.00"
,,,,,
27,6/24/2009,Transformers: Revenge of the Fallen,"210,000,000.00","402,111,870.00","836,519,699.00"
,,,,,
28,6/27/2014,Transformers: Age of Extinction,"210,000,000.00","245,439,076.00","1,104,039,076.00"
,,,,,
29,5/26/2006,X-Men: The Last Stand,"210,000,000.00","234,362,462.00","459,359,555.00"
,,,,,
30,5/14/2010,Robin Hood,"210,000,000.00","105,269,730.00","322,241,588.00"
,,,,,
31,5/18/2012,Battleship,"209,000,000.00","65,233,400.00","305,218,228.00"
,,,,,
32,12/14/2005,King Kong,"207,000,000.00","218,080,025.00","550,517,357.00"
,,,,,
33,12/1/2007,The Golden Compass,"205,000,000.00","70,107,728.00","367,262,558.00"
,,,,,
34,12/19/1997,Titanic,"200,000,000.00","658,672,302.00","2,207,615,668.00"
,,,,,
35,12/16/2016,Rogue One: A Star Wars Story,"200,000,000.00","531,978,164.00","1,050,789,328.00"
,,,,,
36,6/17/2016,Finding Dory,"200,000,000.00","486,295,561.00","1,022,617,376.00"
,,,,,
37,6/18/2010,Toy Story 3,"200,000,000.00","415,004,880.00","1,069,818,229.00"
,,,,,
38,5/3/2013,Iron Man 3,"200,000,000.00","408,992,272.00","1,215,392,272.00"
,,,,,
39,6/30/2004,Spider-Man 2,"200,000,000.00","373,524,485.00","783,705,001.00"
,,,,,
40,3/5/2010,Alice in Wonderland,"200,000,000.00","334,191,110.00","1,025,491,110.00"
,,,,,
41,11/8/2012,Skyfall,"200,000,000.00","304,360,277.00","1,110,526,981.00"
,,,,,
42,6/21/2013,Monsters University,"200,000,000.00","268,488,329.00","743,588,329.00"
,,,,,
43,3/8/2013,Oz the Great and Powerful,"200,000,000.00","234,770,996.00","490,359,051.00"
,,,,,
44,5/23/2014,X-Men: Days of Future Past,"200,000,000.00","233,921,534.00","747,862,775.00"
,,,,,
45,5/2/2014,The Amazing Spider-Man 2,"200,000,000.00","202,853,933.00","708,996,336.00"
,,,,,
46,6/24/2011,Cars 2,"200,000,000.00","191,450,875.00","560,155,383.00"
,,,,,
47,12/17/2010,Tron: Legacy,"200,000,000.00","172,062,763.00","397,562,763.00"
,,,,,
48,11/13/2009,2012,"200,000,000.00","166,112,167.00","788,408,539.00"
,,,,,
49,5/21/2009,Terminator Salvation,"200,000,000.00","125,322,469.00","365,491,792.00"
,,,,,
